%time,CO2air,co2_dos
43921.65625,702,0.0033
43921.65972,725,0.0034
43921.66319,706,0.0035
43921.66667,743,0.0036
43921.67014,732,0.0028
43921.67361,706,0.0021
43921.67708,684,0.0013
43921.68056,751,0.0021
43921.68403,744,0.0029
43921.6875,760,0.0038
43921.69097,752,0.0034
43921.69444,734,0.003
43921.69792,747,0.0027
43921.70139,786,0.0036
43921.70486,804,0.0046
43921.70833,838,0.0056
43921.71181,851,0.0037
43921.71528,794,0.0019
43921.71875,733,0
43921.72222,708,0
43921.72569,670,0
43921.72917,652,0
43921.73264,636,0
43921.73611,614,0
43921.73958,594,0
43921.74306,561,0
43921.74653,534,0
43921.75,520,0
43921.75347,507,0
43921.75694,503,0
43921.76042,481,0
43921.76389,477,0
43921.76736,468,0
43921.77083,469,0
43921.77431,481,0
43921.77778,465,0
43921.78125,451,0
43921.78472,463,0
43921.78819,460,0
43921.79167,459,0
43921.79514,456,0
43921.79861,455,0
43921.80208,468,0
43921.80556,455,0
43921.80903,456,0
43921.8125,451,0
43921.81597,457,0
43921.81944,455,0
43921.82292,466,0
43921.82639,473,0
43921.82986,476,0
43921.83333,476,0
43921.83681,476,0
43921.84028,479,0
43921.84375,503,0
43921.84722,492,0
43921.85069,479,0
43921.85417,498,0
43921.85764,504,0
43921.86111,498,0
43921.86458,508,0
43921.86806,521,0
43921.87153,503,0
43921.875,516,0
43921.87847,514,0
43921.88194,527,0
43921.88542,522,0
43921.88889,558,0
43921.89236,527,0
43921.89583,536,0
43921.89931,535,0
43921.90278,546,0
43921.90625,588,0
43921.90972,590,0
43921.91319,550,0
43921.91667,584,0
43921.92014,570,0
43921.92361,594,0
43921.92708,556,0
43921.93056,578,0
43921.93403,597,0
43921.9375,596,0
43921.94097,603,0
43921.94444,606,0
43921.94792,575,0
43921.95139,579,0
43921.95486,583,0
43921.95833,594,0
43921.96181,587,0
43921.96528,607,0
43921.96875,579,0
43921.97222,624,0
43921.97569,595,0
43921.97917,613,0
43921.98264,614,0
43921.98611,616,0
43921.98958,613,0
43921.99306,639,0
43921.99653,598,0
43922,628,0
43922.00347,673,0.0009
43922.00694,733,0.0017
43922.01042,830,0.0026
43922.01389,889,0.0045
43922.01736,980,0.0064
43922.02083,993,0.0084
43922.02431,970,0.0058
43922.02778,937,0.0033
43922.03125,925,0.0008
43922.03472,929,0.0005
43922.03819,891,0.0003
43922.04167,893,0
43922.04514,974,0.001
43922.04861,1017,0.002
43922.05208,1016,0.003
43922.05556,976,0.002
43922.05903,951,0.001
43922.0625,929,0.0001
43922.06597,910,0.0001
43922.06944,886,0
43922.07292,913,0
43922.07639,975,0.0001
43922.07986,948,0.0002
43922.08333,923,0.0003
43922.08681,914,0.0005
43922.09028,924,0.0007
43922.09375,895,0.0009
43922.09722,940,0.0013
43922.10069,935,0.0018
43922.10417,930,0.0022
43922.10764,937,0.0019
43922.11111,940,0.0017
43922.11458,922,0.0014
43922.11806,912,0.0015
43922.12153,893,0.0015
43922.125,932,0.0016
43922.12847,957,0.0016
43922.13194,940,0.0016
43922.13542,928,0.0016
43922.13889,920,0.0012
43922.14236,868,0.0009
43922.14583,884,0.0006
43922.14931,960,0.0018
43922.15278,990,0.003
43922.15625,968,0.0043
43922.15972,943,0.003
43922.16319,929,0.0016
43922.16667,900,0.0003
43922.17014,917,0.0002
43922.17361,881,0.0001
43922.17708,937,0
43922.18056,910,0.0004
43922.18403,884,0.0008
43922.1875,909,0.0012
43922.19097,960,0.0018
43922.19444,976,0.0023
43922.19792,935,0.0029
43922.20139,934,0.0022
43922.20486,902,0.0014
43922.20833,897,0.0006
43922.21181,947,0.0012
43922.21528,966,0.0018
43922.21875,950,0.0024
43922.22222,925,0.0017
43922.22569,906,0.001
43922.22917,888,0.0003
43922.23264,932,0.0011
43922.23611,966,0.0019
43922.23958,949,0.0026
43922.24306,931,0.0018
43922.24653,905,0.0009
43922.25,873,0.0001
43922.25347,911,0.0015
43922.25694,993,0.003
43922.26042,971,0.0044
43922.26389,955,0.003
43922.26736,921,0.0015
43922.27083,903,0
43922.27431,901,0
43922.27778,916,0
43922.28125,908,0
